uid,sid
140,124
140,103
140,31
141,46
141,65
141,1
141,79
141,84
141,34
141,13
141,68
141,103
141,60
141,126
142,46
142,54
142,41
142,99
142,149
142,74
142,53
142,59
142,62
142,31
142,44
143,98
143,150
143,6
143,95
143,52
143,101
143,114
143,120
143,125
143,62
144,10
144,113
144,21
144,47
144,108
144,109
144,144
144,110
144,95
144,68
144,58
145,107
145,20
145,10
145,113
145,47
145,79
145,91
145,99
145,84
145,109
145,12
145,66
145,110
145,77
145,101
145,16
145,68
145,60
145,9
145,17
145,136
145,97
146,45
146,46
146,48
146,33
146,149
146,93
146,53
146,59
146,19
146,31
147,46
147,10
147,54
147,40
147,41
147,150
147,149
147,49
147,93
147,119
147,72
147,59
147,120
147,31
148,20
148,150
148,93
148,118
148,72
148,53
148,59
148,120
148,60
148,62
148,31
149,48
149,50
149,93
149,76
149,13
149,6
149,72
149,106
149,62
149,31
150,0
150,21
150,1
150,33
150,14
150,6
150,124
150,37
150,39
150,88
151,48
151,41
151,99
151,109
151,74
151,50
151,77
151,28
151,72
151,53
151,18
151,136
151,62
151,69
152,107
152,64
152,11
152,41
152,99
152,149
152,74
152,110
152,77
152,101
152,28
152,31
153,0
153,32
153,123
153,84
153,34
153,117
153,66
153,36
153,53
153,89
154,46
154,54
154,40
154,24
154,154
154,41
154,159
154,99
154,119
154,42
154,53
154,59
154,158
155,0
155,10
155,113
155,11
155,150
155,99
155,149
155,109
155,74
155,110
155,101
155,58
155,59
155,126
155,62
156,32
156,25
156,91
156,12
156,117
156,6
156,37
156,72
156,112
156,61
156,69
157,63
157,0
157,45
157,90
157,83
157,98
157,92
157,99
157,74
157,95
157,52
157,77
157,68
157,58
157,103
157,129
157,31
158,122
158,21
158,116
158,154
158,123
158,84
158,34
158,51
158,13
158,66
158,57
158,26
158,52
158,77
159,65
159,86
159,109
159,93
159,66
159,52
159,129
159,18
159,69
159,44
160,121
160,82
160,21
160,32
160,142
160,123
160,117
160,13
160,81
160,6
160,15
160,111
160,112
161,127
161,99
161,84
161,118
161,94
161,95
161,100
161,68
161,28
161,138
161,130
161,136
161,89
161,62
162,11
162,74
162,94
162,100
162,27
162,42
162,104
162,18
162,158
162,44
163,108
163,84
163,110
163,26
163,67
163,7
163,101
163,38
163,106
163,125
163,126
164,73
164,83
164,143
164,56
164,13
164,140
164,103
164,9
164,125
164,115
164,97
165,0
165,51
165,76
165,118
165,52
165,77
165,67
165,28
165,19
165,62
166,78
166,46
166,90
166,54
166,149
166,74
166,93
166,76
166,101
166,111
166,31
167,63
167,46
167,65
167,73
167,98
167,108
167,150
167,92
167,149
167,109
167,74
167,160
167,34
167,93
167,76
167,101
167,68
167,28
167,53
167,120
167,125
167,126
167,30
167,62
167,31
168,141
168,46
168,121
168,82
168,122
168,1
168,80
168,34
168,50
168,94
168,103
168,60
168,39
168,126
168,89
169,63
169,64
169,46
169,65
169,90
169,98
169,54
169,1
169,2
169,116
169,4
169,92
169,99
169,149
169,157
169,5
169,74
169,34
169,93
169,76
169,66
169,94
169,26
169,77
169,67
169,15
169,27
169,114
169,8
169,111
169,72
169,59
169,106
169,120
169,138
169,17
169,61
169,158
169,30
169,31
169,44
170,0
170,78
170,10
170,83
170,47
170,108
170,40
170,41
170,76
170,66
170,110
170,52
170,77
170,42
170,28
170,53
170,59
170,17
170,61
170,31
171,0
171,10
171,32
171,54
171,109
171,34
171,144
171,117
171,57
171,26
171,77
171,39
171,136
171,89
171,62
171,44
172,32
172,99
172,109
172,74
172,50
172,53
172,59
172,62
172,31
172,44
173,63
173,46
173,65
173,90
173,86
173,73
173,113
173,21
173,98
173,22
173,2
173,11
173,33
173,150
173,92
173,5
173,34
173,144
173,93
173,13
173,66
173,6
173,87
173,15
173,151
173,114
173,28
173,103
173,53
173,129
173,106
173,104
173,120
173,161
173,29
173,138
173,17
173,30
173,89
173,97
173,31
173,132
173,44
174,63
174,122
174,32
174,22
174,11
174,91
174,85
174,100
174,68
174,39
174,62
175,20
175,10
175,40
175,11
175,41
175,99
175,74
175,76
175,66
175,110
175,95
175,101
175,68
175,62
175,31
175,44
176,63
176,20
176,21
176,22
176,2
176,116
176,34
176,117
176,26
176,7
176,128
176,68
176,106
176,105
176,136
176,69
177,0
177,137
177,116
177,11
177,4
177,74
177,94
177,67
177,7
177,60
177,61
177,44
178,48
178,99
178,149
178,75
178,93
178,76
178,52
178,28
178,59
178,18
179,107
179,21
179,91
179,144
179,12
179,13
179,95
179,17
179,126
179,136
179,62
180,21
180,83
180,109
180,117
180,118
180,95
180,67
180,124
180,106
180,112
180,136
181,0
181,32
181,22
181,123
181,56
181,34
181,117
181,66
181,14
181,94
181,7
181,39
181,29
181,105
181,89
182,0
182,64
182,78
182,46
182,121
182,82
182,41
182,91
182,4
182,99
182,51
182,13
182,6
182,71
182,15
182,7
182,101
182,38
182,103
182,53
182,59
182,106
182,30
182,89
182,146
183,63
183,86
183,54
183,55
183,48
183,41
183,92
183,149
183,59
183,18
183,88
183,31
184,152
184,98
184,2
184,24
184,4
184,93
184,26
184,100
184,27
184,114
184,120
184,31
185,64
185,46
185,98
185,11
185,99
185,50
185,93
185,117
185,76
185,18
185,30
185,89
185,62
185,31
186,63
186,79
186,76
186,35
186,77
186,58
186,17
186,62
186,97
186,132
187,63
187,73
187,143
187,1
187,13
187,81
187,151
187,103
187,125
187,97
188,46
188,21
188,91
188,109
188,75
188,76
188,52
188,67
188,59
188,39
188,17
189,10
189,55
189,40
189,11
189,41
189,109
189,66
189,52
189,18
189,62
190,0
190,45
190,73
190,113
190,54
190,47
190,48
190,11
190,139
190,41
190,99
190,109
190,74
190,49
190,76
190,35
190,95
190,52
190,87
190,128
190,28
190,129
190,59
190,17
190,18
190,126
190,19
190,62
190,88
191,0
191,122
191,25
191,123
191,51
191,66
191,81
191,71
191,17
191,62
191,31
192,107
192,10
192,113
192,109
192,110
192,118
192,52
192,101
192,68
192,58
192,28
193,10
193,83
193,2
193,110
193,95
193,101
193,68
193,58
193,9
193,125
193,126
193,62
193,146
194,0
194,45
194,64
194,78
194,141
194,82
194,137
194,32
194,3
194,4
194,56
194,34
194,117
194,51
194,81
194,6
194,87
194,15
194,37
194,7
194,60
194,9
194,112
194,39
194,105
194,136
194,61
194,89
194,62
194,115
195,46
195,65
195,73
195,98
195,79
195,127
195,85
195,93
195,110
195,118
195,100
195,124
195,120
195,29
195,18
195,136
195,30
195,44
196,64
196,141
196,121
196,82
196,113
196,32
196,33
196,142
196,84
196,109
196,102
196,80
196,34
196,117
196,51
196,81
196,14
196,94
196,148
196,100
196,27
196,7
196,151
196,103
196,43
196,112
196,138
196,130
196,30
196,89
196,131
196,62
196,115
197,64
197,116
197,4
197,162
197,13
197,15
197,27
197,8
197,59
197,138
197,89
198,21
198,98
198,79
198,99
198,102
198,124
198,37
198,7
198,68
198,103
198,59
198,112
198,39
198,125
198,17
198,126
199,63
199,46
199,10
199,152
199,113
199,11
199,41
199,99
199,109
199,74
199,93
199,110
199,94
199,71
199,100
199,101
199,58
199,111
199,59
199,18
199,126
199,131
199,62
199,31
200,0
200,11
200,150
200,74
200,49
200,50
200,110
200,59
200,126
200,62
200,31
201,64
201,46
201,10
201,32
201,11
201,74
201,110
201,103
201,72
201,120
201,18
201,61
202,63
202,65
202,83
202,99
202,75
202,12
202,93
202,110
202,59
202,106
202,125
202,18
203,46
203,121
203,41
203,4
203,50
203,118
203,59
203,112
203,61
203,31
204,45
204,10
204,54
204,24
204,109
204,74
204,49
204,93
204,76
204,66
204,27
204,28
204,31
205,20
205,78
205,46
205,10
205,54
205,147
205,47
205,3
205,153
205,79
205,4
205,92
205,99
205,74
205,160
205,85
205,93
205,6
205,95
205,52
205,77
205,111
205,59
205,136
205,158
205,62
206,65
206,122
206,54
206,23
206,160
206,85
206,72
206,59
206,17
206,96
206,30
207,0
207,47
207,48
207,41
207,75
207,52
207,87
207,101
207,28
207,129
207,59
207,18
208,64
208,46
208,86
208,150
208,74
208,117
208,162
208,66
208,71
208,30
209,20
209,10
209,113
209,147
209,47
209,11
209,109
209,49
209,110
209,52
209,100
209,58
209,62
209,44
210,0
210,64
210,21
210,32
210,54
210,40
210,24
210,33
210,4
210,99
210,5
210,84
210,56
210,144
210,117
210,51
210,13
210,66
210,118
210,14
210,119
210,57
210,95
210,26
210,67
210,27
210,37
210,38
210,8
210,42
210,58
210,59
210,138
210,158
210,89
210,62
210,115
210,31
210,44
211,63
211,156
211,92
211,109
211,14
211,95
211,52
211,120
211,31
211,44
212,65
212,32
212,11
212,41
212,109
212,74
212,85
212,76
212,110
212,77
212,18
212,88
212,31
212,69
212,44
213,122
213,32
213,116
213,81
213,14
213,71
213,26
213,52
213,87
213,114
214,55
214,24
214,160
214,51
214,66
214,57
214,52
214,59
214,105
214,130
215,46
215,32
215,47
215,11
215,99
215,109
215,95
215,52
215,101
215,58
215,43
215,112
215,126
215,96
215,136
215,44
216,107
216,45
216,46
216,40
216,33
216,139
216,41
216,91
216,92
216,99
216,75
216,12
216,13
216,52
216,27
216,114
216,28
216,103
216,53
216,106
216,120
216,18
216,158
216,62
216,31
217,113
217,11
217,74
217,50
217,100
217,87
217,101
217,68
217,58
217,28
218,65
218,150
218,92
218,93
218,76
218,67
218,103
218,53
218,120
218,31
219,0
219,83
219,40
219,11
219,25
219,41
219,4
219,99
219,13
219,66
219,26
219,101
219,58
219,28
219,72
219,129
219,59
219,138
219,18
219,61
219,62
219,31
219,69
219,44
220,47
220,74
220,117
220,110
220,119
220,6
220,95
220,77
220,114
220,28
220,103
220,125
220,138
220,18
220,126
220,62
220,44
221,107
221,64
221,147
221,2
221,139
221,4
221,92
221,149
221,134
221,74
221,76
221,66
221,77
221,67
221,27
221,7
221,101
221,114
221,68
221,8
221,58
221,103
221,106
221,120
221,69
222,63
222,49
222,117
222,76
222,13
222,66
222,6
222,77
222,87
222,112
222,96
222,31
223,73
223,147
223,150
223,92
223,93
223,27
223,38
223,114
223,53
223,31
224,32
224,47
224,11
224,79
224,99
224,109
224,85
224,49
224,76
224,110
224,118
224,95
224,52
224,58
224,53
224,62
224,31
224,44
225,133
225,82
225,54
225,147
225,40
225,24
225,144
225,76
225,59
225,112
226,10
226,11
226,109
226,74
226,75
226,110
226,94
226,27
226,72
226,53
226,59
226,62
226,31
227,98
227,92
227,134
227,109
227,117
227,77
227,129
227,59
227,30
227,44
228,63
228,73
228,113
228,48
228,139
228,79
228,150
228,92
228,99
228,109
228,56
228,162
228,95
228,38
228,103
228,129
228,59
228,125
228,89
228,62
229,45
229,64
229,78
229,22
229,11
229,41
229,4
229,80
229,117
229,81
229,14
229,57
229,36
229,6
229,26
229,100
229,87
229,60
229,39
229,29
230,98
230,54
230,74
230,50
230,93
230,27
230,72
230,59
230,62
230,31
231,20
231,46
231,133
231,10
231,145
231,54
231,48
231,154
231,41
231,109
231,93
231,119
231,52
231,28
231,72
231,120
231,31
232,45
232,46
232,86
232,54
232,24
232,139
232,153
232,117
232,95
232,87
232,72
232,53
232,129
232,59
232,18
232,19
232,88
232,31
233,63
233,73
233,40
233,33
233,92
233,56
233,77
233,128
233,68
233,103
233,125
234,0
234,79
234,134
234,109
234,95
234,15
234,103
234,112
234,18
234,136
234,62
235,41
235,77
235,37
235,58
235,103
235,59
235,60
235,18
235,158
235,31
236,0
236,73
236,21
236,147
236,56
236,102
236,34
236,76
236,66
236,52
236,77
236,42
236,60
236,112
236,17
236,44
237,122
237,21
237,11
237,109
237,85
237,118
237,125
237,62
237,88
237,31
237,44
238,0
238,46
238,98
238,2
238,11
238,91
238,74
238,110
238,101
238,114
239,20
239,137
239,24
239,134
239,49
239,114
239,42
239,72
239,59
239,18
239,31
239,69
240,107
240,65
240,90
240,21
240,32
240,1
240,2
240,92
240,109
240,74
240,85
240,110
240,6
240,101
240,68
240,58
240,89
241,63
241,45
241,21
241,32
241,74
241,101
241,111
241,53
241,138
241,136
241,69
241,44
242,46
242,65
242,86
242,11
242,150
